tr_yearlyrank,tr_title,tr_artist_id,tr_dateentered,tr_datepeaked
1968_303,"And Suddenly",4661,1968-07-20,NULL
1968_353,"Can't You Find Another Way (Of Doing It)",4331,1968-08-03,NULL
1968_328,"To Wait For Love",1633,1968-08-31,NULL
1968_301,"Listen Here",1716,1968-06-15,NULL
1968_348,"Keep The One You Got",474,1968-08-10,NULL
1968_107,"Piece Of My Heart",4632,1968-08-31,NULL
1968_095,"Say It Loud - I'm Black And I'm Proud (Part 1)",126,1968-09-07,NULL
1968_159,"(The Lament Of The Cherokee) Indian Reservation",4642,1968-08-31,NULL
1968_072,"My Special Angel",4136,1968-09-07,NULL
1968_406,"Workin' On A Groovy Thing",4563,1968-08-03,NULL
1968_055,"Midnight Confessions",4339,1968-08-31,NULL
1968_361,"The Weight",184,1968-08-24,NULL
1968_214,In-A-Gadda-Da-Vida,4654,1968-08-24,NULL
1968_439,"Barefoot In Baltimore",4449,1968-08-31,NULL
1968_398,"I Loved And I Lost",3925,1968-07-20,NULL
1968_294,"Down On Me",4632,1968-08-31,NULL
1968_429,"(There's) Always Something There To Remind Me",3910,1968-08-31,NULL
1968_245,"Break Your Promise",4616,1968-08-31,NULL
1968_225,"Baby, Come Back",4655,1968-09-07,NULL
1968_341,"Fly Me To The Moon",145,1968-08-17,NULL
1968_463,"Down Here On The Ground",1072,1968-08-31,NULL
1968_493,"Private Number",4684,1968-08-31,NULL
1968_416,"The Weight",4675,1968-08-31,NULL
1968_481,"Unchained Melody",4529,1968-08-31,NULL
1968_421,"My Way Of Life",3965,1968-08-31,NULL
1968_133,"Hey, Western Union Man",980,1968-08-31,NULL
1968_499,"That Kind Of Woman",4621,1968-08-31,NULL
1968_028,Fire,4610,1968-09-07,NULL
1968_528,"The Mule",4691,1968-08-31,NULL
1968_387,"Don't Change Your Love",4362,1968-08-24,NULL
1968_318,"Street Fighting Man",3906,1968-09-07,NULL
1968_538,"Do What You Gotta Do",249,1968-08-31,NULL
1968_564,"If Love Is In Your Heart",4626,1968-08-31,NULL
1968_549,"Then You Can Tell Me Goodbye",2777,1968-09-07,NULL
1968_218,"Shoot'em Up, Baby",2071,1968-09-07,NULL
1968_276,"Naturally Stoned",4660,1968-08-31,NULL
1968_164,"Shape Of Things To Come",4643,1968-09-07,NULL
1968_568,"Light My Fire",4447,1968-08-31,NULL
1968_102,"Suzie Q (Part 1)",4629,1968-09-07,NULL
1968_268,"The Funky Judge",4659,1968-08-24,NULL
1968_623,"The Woman I Love",1276,1968-08-24,NULL
1968_635,"Sally Had A Party",4716,1968-08-03,NULL
1968_631,"Help Yourself (To All Of My Lovin')",4306,1968-08-31,NULL
1968_656,"She's About A Mover",4721,1968-08-24,NULL
1968_664,"Since You've Been Gone",847,1968-08-31,NULL
1968_167,"Fool For You",3925,1968-09-07,NULL
1968_681,"Lady Madonna",4035,1968-09-07,NULL
